label,score,x_min,y_min,x_max,y_max
a candle stand,0.8083,335.34,425.78,405.75,595.18
a ceiling fan,0.928,277.15,1.47,837.05,114.04
a wooden table,0.8993,153.82,565.72,722.86,716.15
a drinking glass,0.8976,436.98,503.81,504.4,596.92
a chair,0.9249,729.45,547.19,893.34,715.06
a bottle,0.482,538.31,381.58,600.43,594.93
a man,0.5621,848.96,16.29,1149.7,711.48
